"","ETBL_ID","ETBL_NOM_FR","ADR_CIVIQUE","ADR_MUNICIPALITE","ADR_CODE_POSTAL","ADR_LATITUDE","ADR_LONGITUDE"
"1453",1139451,"HÔTEL HORIZON","297, rue Maple","Sutton","J0E2K0",45.105987,-72.583195
"1454",1139527,"HÔTEL BAIE-SAINT-PAUL","911, boul. Monseigneur-De Laval","Baie-Saint-Paul","G3Z1A1",47.440548,-70.518925
"1455",1139610,"HÔTEL RAYALCO","104, rue Olivier","Laurier-Station","G0S1N0",46.54487,-71.633597
"1456",1139872,"AVENTURE ROSE-DES-VENTS","136, rue du Quai","Sainte-Rose-du-Nord","G0V1T0",48.385485,-70.587577
"1457",1139921,"MOTEL LE MIRAGE","185, boul. De Comporté","La Malbaie","G5A2Y3",47.640656,-70.148274
"1458",1140087,"COMPLEXE LES NEIGES","1910, boul. les Neiges","Saint-Ferréol-les-Neiges","G0A3R0",47.083757,-70.890889
"1459",1140206,"HÔTEL COMFORT INN ANCIENNE-LORETTE","1255, aut. Duplessis","L'Ancienne-Lorette","G2G2B4",46.787837,-71.353281
"1460",1140345,"RESTAURANT-MOTEL INTERPROVINCIAL","4, boul. Perron O.","Pointe-à-la-Croix","G0C1L0",48.022785,-66.72008
"1461",1140415,"AUBERGE PRESBYTÈRE MONT LAC-VERT","335, rang du Lac-Vert","Hébertville","G8N1M1",48.366458,-71.657932
"1462",1140484,"MOTEL FLEUR DE LYS","2074, ch. François-Hertel","Magog","J1X0M1",45.273953,-72.16997
"1463",1140568,"COMME CHEZ SOI","3219, rue Principale O.","Magog","J1X0J6",45.293292,-72.224519
"1464",1140704,"HÔTEL ET SPA ÉTOILE-SUR-LE-LAC","1200, rue Principale O.","Magog","J1X2B8",45.272204,-72.163894
"1465",1140928,"MANOIR HOVEY","575, rue Hovey","North Hatley","J0B2C0",45.266807,-71.994436
"1466",1141047,"AUBERGE HÉLÈNE","39, boul. Arthabaska E.","Victoriaville","G6T0S6",46.082589,-71.931528
"1467",1141172,"MOTEL L'EXQUISE","79, rte 147","Coaticook","J1A2S2",45.117088,-71.795593
"1468",1141233,"MOTEL BELLEVUE","1150, av. du Palais","Saint-Joseph-de-Beauce","G0S2V0",46.299582,-70.872279
"1469",1141349,"HÔTEL-MOTEL ST-RÉGIS","1435, rte 116","Danville","J0A1A0",45.797818,-72.01611
"1470",1141665,"MOTEL MANOIR SUR MER","475, 1re Avenue O.","Sainte-Anne-des-Monts","G4V1G4",49.124647,-66.532307
"1471",1141730,"LES ARAYNES","102, rte 199","Les Îles-de-la-Madeleine","G4T9B3",47.271637,-61.921241
"1472",1141784,"CHALET DES NEIGES","1930, boul. les Neiges","Saint-Ferréol-les-Neiges","G0A3R0",47.08404,-70.8906252
"1473",1142018,"AUBERGE AYER'S CLIFF","1087, rue Main","Ayer's Cliff","J0B1C0",45.168489,-72.040261
"1474",1142084,"LE RIPPLECOVE, HÔTEL SUR LE LAC","700, ch. Ripple Cove","Ayer's Cliff","J0B1C0",45.178351,-72.051211
"1475",1142214,"MOTEL LE VICTO","1221, rue Notre-Dame O.","Victoriaville","G6P7L1",46.052281,-71.997923
"1476",1142261,"MOTEL CANADIEN","1821, rue Notre-Dame E.","Trois-Rivières","G8T8B2",46.385552,-72.479124
"1477",1142612,"AUBERGE LA COULÉE DOUCE","21, rue Boudreau","Causapscal","G0J1J0",48.353041,-67.22105
"1478",1142764,"L'HÔTEL DU VIEUX-QUÉBEC","1190, rue St-Jean","Québec","G1R1S6",46.814578,-71.209589
"1479",1142852,"AU PIC DE L'AURORE VILLAGE CHALETS","1, rte 132 O.","Percé","G0C2L0",48.533089,-64.227448
"1480",1142938,"LES CHALETS DU PARC","1231, boul. de Forillon","Gaspé","G4X6T9",48.857023,-64.41393
"1481",1143002,"HÔTEL MARINEAU SHAWINIGAN","2223, rue Hanna","Shawinigan","G9T6S5",46.6227507,-72.7024754
"1482",1143089,"MOTEL LE MIRAGE","288, rte 132 O.","Percé","G0C2L0",48.513388,-64.220708
"1483",1143183,"CHALETS VACANCES FAMILLE MONT-PLAISANT","993, rte de l' Aéroport","Roberval","G8H2M9",48.525153,-72.263011
"1484",1143341,"MOTEL LECLERC","333, ch. de la Baleine","L'Isle-aux-Coudres","G0A2A0",47.409139,-70.341172
"1485",1143510,"MOTEL BON AIR PONT-ROUGE","200, boul. Notre-Dame","Pont-Rouge","G3H3K7",46.769406,-71.718924
"1486",1143609,"RESTAURANT MOTEL DE LA PLAGE","150, ch. des Bains","Saint-Irénée","G0T1V0",47.565093,-70.205413
"1487",1143718,"MIAMI MOTEL","300, rue Antoine-Pinard","Trois-Rivières","G8T6K7",46.369519,-72.524231
"1488",1143791,"HÔTEL LA MADONE","10, rue Denis-Caron","Trois-Rivières","G8T3W9",46.368855,-72.500893
"1489",1143842,"MOTEL LE VOYAGEUR","10500, boul. Lacroix","Saint-Georges","G5Y6X9",46.126168,-70.683045
"1490",1144349,"COMPLEXE HÔTELIER RAMANA","18, rue Principale N.","Cookshire-Eaton","J0B3A0",45.338975,-71.567242
"1491",1144687,"LA REMONTÉE APPARTEMENTS-HÔTEL","95, côte Bellevue","La Malbaie","G5A3A7",47.629008,-70.144824
"1492",1144927,"AUBERGE &#38; SPA DES FALAISES ET PAVILLON","250, ch. des Falaises","La Malbaie","G5A2V2",47.63655,-70.150613
"1493",1145550,"HÔTEL MADAME RUBY","Route 138","La Romaine","",50.216667,-60.666667
"1494",1145648,"HÔTEL-MOTEL PORTE DE LA MAURICIE","4, rte Ste-Anne O.","Yamachiche","G0X3L0",46.262125,-72.877216
"1495",1145729,"AUBERGE LA MAISON SOUS LES PINS","352, rue Félix-Antoine-Savard","Les Éboulements","G0A3Y0",47.457597,-70.366222
