ETBL_ID;ADR_ID;ADR_GENRE_ID;ADR_GENRE_FR;ADR_GENRE_EN;ADR_PRINCIPALE;ADR_CIVIQUE;ADR_MUNICIPALITE;ADR_PROVINCE;ADR_PAYS;ADR_CODE_POSTAL;ADR_PNT_SERVC_FR;ADR_PNT_SERVC_EN;ADR_PNT_SERVC_DEFAUT;ADR_LATITUDE;ADR_LONGITUDE;ADR_COMMENT_FR;ADR_COMMENT_EN
854446;13176243;7;Exploitation;Operations;1;1500, 7e Rang;Saint-Côme;Québec;Canada;J0K2B0;;;1;46.250253;-73.772056;;
854933;11513328;7;Exploitation;Operations;1;606, rue des Mésanges;Sainte-Émélie-de-l'Énergie;Québec;Canada;J0K2K0;;;1;46.398579;-73.706354;;
855223;19814687;7;Exploitation;Operations;1;3595, rue Léonard;Mont-Tremblant;Québec;Canada;J8E2A5;;;1;46.08943;-74.607975;;
855312;14603595;7;Exploitation;Operations;1;287, 51e Avenue;Saint-Hippolyte;Québec;Canada;J8A1N4;;;1;45.880163;-73.978583;;
855375;13192385;7;Exploitation;Operations;1;967, rte 309;Saint-Aimé-du-Lac-des-Îles;Québec;Canada;J0W1J0;;;1;46.41301;-75.508312;;
855423;11511693;7;Exploitation;Operations;1;180, ch. Jean-Jeunes;Amherst;Québec;Canada;J0T2T0;;;1;46.094628;-74.823618;;
855491;102873693;7;Exploitation;Operations;1;1192, ch. du Lac-Caché;La Macaza;Québec;Canada;J0T1R0;;;1;46.35104;-74.661748;;
855558;855562;7;Exploitation;Operations;1;10020, rte Marie-Victorin;Contrecoeur;Québec;Canada;J0L1C0;;;1;45.968513;-73.187141;;
855647;13258944;7;Exploitation;Operations;1;10350, rte Marie-Victorin;Contrecoeur;Québec;Canada;J0L1C0;;;1;45.974213;-73.182348;;
855732;13258709;7;Exploitation;Operations;1;756, ch. des Patriotes;Otterburn Park;Québec;Canada;J3H1Z5;;;1;45.54356;-73.213765;;
855958;855962;7;Exploitation;Operations;1;49, av. de la Gare;Saint-Sauveur;Québec;Canada;J0R1R0;;;1;45.893331;-74.156141;;
856206;13255917;7;Exploitation;Operations;1;673, 8e Avenue;Val-Morin;Québec;Canada;J0T2R0;;;1;45.999063;-74.18731;;
856281;13181942;7;Exploitation;Operations;1;3565, ch. du Lac-Legault;Sainte-Lucie-des-Laurentides;Québec;Canada;J0T2J0;;;1;46.1561;-74.195365;;
856379;13192352;7;Exploitation;Operations;1;1721, ch. du Lac-Quenouille;Lac-Supérieur;Québec;Canada;J0T1P0;;;1;46.150519;-74.367872;;
857017;13181515;7;Exploitation;Operations;1;270, rue du Lac-Long S.;Saint-Alphonse-Rodriguez;Québec;Canada;J0K1W0;;;1;46.16629;-73.662081;;
857172;857176;7;Exploitation;Operations;1;424, rte du Nord;Brownsburg-Chatham;Québec;Canada;J8G1L6;;;1;45.672599;-74.380814;;
857244;12449583;7;Exploitation;Operations;1;2045, rue Peel;Montréal;Québec;Canada;H3A1T6;;;1;45.501412;-73.575489;;
857478;13181727;7;Exploitation;Operations;1;8082, ch. du Lac-Morgan;Rawdon;Québec;Canada;J0K1S0;;;1;46.139372;-73.738547;;
857559;13175546;7;Exploitation;Operations;1;1640, rue Rochon;Chertsey;Québec;Canada;J0K3K0;;;1;46.126142;-73.872685;;
857654;13181623;7;Exploitation;Operations;1;1085, rang du Havre-Familial;Sainte-Béatrix;Québec;Canada;J0K1Y0;;;1;46.234314;-73.645792;;
858282;858286;7;Exploitation;Operations;1;122, ch. Trudel;Huberdeau;Québec;Canada;J0T1G0;;;1;45.99899;-74.657493;;
858451;858455;7;Exploitation;Operations;1;171, rue St-Paul O.;Montréal;Québec;Canada;H2Y1Z5;;;1;45.503159;-73.555197;;
858503;858507;7;Exploitation;Operations;1;304, rue Principale;Mansfield-et-Pontefract;Québec;Canada;J0X1R0;;;1;45.861271;-76.73909;;
